AirCode,AirName,City,State,fare14,fuel14,fare15,fuel15,fare16,fuel16,fare17,fuel17,fare18,fuel18,fare19,fuel19,fare20,fuel20,fare21,fuel21
PIH,Pocatello Regional,Pocatello,ID,590.44,2.788083333,819.77,1.626916667,732.44,1.315333333,693.06,1.633583333,694.03,2.115166667,600.2,1.969416667,502.47,1.217833333,163.83,1.925
LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,783.9,2.788083333,771.97,1.626916667,666.08,1.315333333,697.47,1.633583333,368.61,2.115166667,620.74,1.969416667,496.61,1.217833333,456.87,1.925
MEI,Key Field,Meridian,MS,653.26,2.788083333,671.29,1.626916667,774.35,1.315333333,618.79,1.633583333,473.05,2.115166667,486.17,1.969416667,423.98,1.217833333,596.32,1.925
CNY,Canyonlands Regional,Moab,UT,414.89,2.788083333,453.06,1.626916667,627.65,1.315333333,585.37,1.633583333,599.73,2.115166667,970.27,1.969416667,547.96,1.217833333,484.32,1.925
OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,536.45,2.788083333,601.38,1.626916667,576.13,1.315333333,499.86,1.633583333,322.17,2.115166667,722.95,1.969416667,561.14,1.217833333,571.38,1.925
PAH,Barkley Regional,Paducah,KY,489.85,2.788083333,574.19,1.626916667,557.63,1.315333333,554.92,1.633583333,626.68,2.115166667,430.97,1.969416667,464.55,1.217833333,575.84,1.925
BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,757.21,2.788083333,756.42,1.626916667,724.44,1.315333333,536.57,1.633583333,538.53,2.115166667,537.24,1.969416667,506.28,1.217833333,401.44,1.925
PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,563.63,2.788083333,1058.26,1.626916667,409.95,1.315333333,637.4,1.633583333,436.43,2.115166667,546.28,1.969416667,478.38,1.217833333,454.79,1.925
WRG,Wrangell Airport,Wrangell,AK,556.13,2.788083333,521.84,1.626916667,507.09,1.315333333,494.29,1.633583333,317.26,2.115166667,392.85,1.969416667,406.96,1.217833333,492.98,1.925
PIR,Pierre Regional,Pierre,SD,882.45,2.788083333,899.28,1.626916667,654.81,1.315333333,515.91,1.633583333,518.56,2.115166667,556.43,1.969416667,444.96,1.217833333,408.11,1.925
EKO,Elko Regional,Elko,NV,671.86,2.788083333,962.19,1.626916667,957.86,1.315333333,644.83,1.633583333,674.12,2.115166667,591.22,1.969416667,561.76,1.217833333,478.02,1.925
MKG,Muskegon County,Muskegon,MI,497.58,2.788083333,512.77,1.626916667,479.41,1.315333333,929.03,1.633583333,813.68,2.115166667,523.65,1.969416667,518.76,1.217833333,548.84,1.925
HYA,Cape Cod Gateway,Hyannis,MA,318.68,2.788083333,277.63,1.626916667,290.96,1.315333333,493.36,1.633583333,456.23,2.115166667,397.23,1.969416667,505,1.217833333,527.9,1.925
VEL,Vernal Regional,Vernal,UT,633.28,2.788083333,842.72,1.626916667,497.65,1.315333333,284.55,1.633583333,312.37,2.115166667,492.93,1.969416667,483.53,1.217833333,542.89,1.925
JMS,Jamestown Regional,Jamestown,ND,561.17,2.788083333,566.27,1.626916667,581.34,1.315333333,677.79,1.633583333,444.08,2.115166667,551.65,1.969416667,533.71,1.217833333,521.04,1.925
PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,719.57,2.788083333,629.44,1.626916667,696.47,1.315333333,505.52,1.633583333,514.55,2.115166667,779.58,1.969416667,617.47,1.217833333,485.51,1.925
INL,Falls International Einarson Field,International Falls,MN,506.72,2.788083333,813.34,1.626916667,502.07,1.315333333,591.61,1.633583333,579.66,2.115166667,490.18,1.969416667,450.12,1.217833333,660.81,1.925
PUB,Pueblo Memorial,Pueblo,CO,453.03,2.788083333,538.13,1.626916667,625.34,1.315333333,653.61,1.633583333,623.92,2.115166667,330.42,1.969416667,283.54,1.217833333,415.14,1.925
HYS,Hays Regional,Hays,KS,582.89,2.788083333,614.11,1.626916667,652.51,1.315333333,603.2,1.633583333,477.16,2.115166667,470.51,1.969416667,522.44,1.217833333,313.1,1.925
VCT,Victoria Regional,Victoria,TX,783.55,2.788083333,717.32,1.626916667,615.58,1.315333333,657.17,1.633583333,559.23,2.115166667,527.08,1.969416667,558.44,1.217833333,513.6,1.925
SHD,Shenandoah Valley Regional,Staunton,VA,670.79,2.788083333,194.95,1.626916667,161.75,1.315333333,593.49,1.633583333,441.51,2.115166667,467.2,1.969416667,434.31,1.217833333,468.44,1.925
ILG,New Castle,Wilmington,DE,245.25,2.788083333,696.61,1.626916667,543.33,1.315333333,187.57,1.633583333,446.76,2.115166667,618.94,1.969416667,501.52,1.217833333,458.23,1.925
LBL,Liberal Mid-America Regional,Liberal,KS,808.41,2.788083333,680.75,1.626916667,480,1.315333333,570.37,1.633583333,455.15,2.115166667,517.72,1.969416667,450.78,1.217833333,543.55,1.925
OGS,Ogdensburg International,Ogdensburg,NY,575.49,2.788083333,796.02,1.626916667,623.13,1.315333333,438.81,1.633583333,437.89,2.115166667,554.76,1.969416667,528.12,1.217833333,377.61,1.925
ATY,Watertown Regional,Watertown,SD,807.44,2.788083333,515.83,1.626916667,777.57,1.315333333,556.19,1.633583333,241.24,2.115166667,532.23,1.969416667,436.45,1.217833333,477.48,1.925
YAK,Yakutat Airport,Yakutat,AK,477.35,2.788083333,642.66,1.626916667,762.63,1.315333333,565.7,1.633583333,545.7,2.115166667,516.9,1.969416667,394.64,1.217833333,471.09,1.925
CGI,Cape Girardeau Regional,Cape Girardeau,MO,601.01,2.788083333,701.32,1.626916667,607.24,1.315333333,615.41,1.633583333,471.52,2.115166667,506.68,1.969416667,507.49,1.217833333,411.85,1.925
ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,698.61,2.788083333,765.82,1.626916667,616.71,1.315333333,546.57,1.633583333,342.13,2.115166667,455.95,1.969416667,476.18,1.217833333,524.74,1.925
DDC,Dodge City Regional,Dodge City,KS,754.2,2.788083333,654.83,1.626916667,592.72,1.315333333,578.69,1.633583333,568.25,2.115166667,302.6,1.969416667,316.1,1.217833333,430.2,1.925
BKG,Branson Airport,Branson,MO,339.39,2.788083333,611.74,1.626916667,557.97,1.315333333,477.36,1.633583333,536.31,2.115166667,473.68,1.969416667,489.63,1.217833333,106.25,1.925
